PGN(
  (net): Sequential(
    (0): Linear(in_features=8, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=4, bias=True)
  )
)
92: reward: -125.29, mean_100: -125.29, episodes: 1
169: reward: -209.08, mean_100: -167.18, episodes: 2
276: reward: -112.51, mean_100: -148.96, episodes: 3
346: reward: -126.07, mean_100: -143.24, episodes: 4
416: reward: -225.18, mean_100: -159.63, episodes: 5
481: reward: -113.10, mean_100: -151.87, episodes: 6
556: reward: -146.07, mean_100: -151.04, episodes: 7
631: reward: -158.07, mean_100: -151.92, episodes: 8
728: reward: -228.89, mean_100: -160.47, episodes: 9
839: reward: -357.89, mean_100: -180.21, episodes: 10
931: reward: -522.33, mean_100: -211.32, episodes: 11
1024: reward: -175.27, mean_100: -208.31, episodes: 12
1125: reward: -197.65, mean_100: -207.49, episodes: 13
1236: reward: -154.54, mean_100: -203.71, episodes: 14
1302: reward: -95.11, mean_100: -196.47, episodes: 15
1384: reward: -274.40, mean_100: -201.34, episodes: 16
1505: reward: -105.08, mean_100: -195.68, episodes: 17
1607: reward: -138.04, mean_100: -192.48, episodes: 18
1718: reward: -373.73, mean_100: -202.02, episodes: 19
1842: reward: -108.06, mean_100: -197.32, episodes: 20
1918: reward: -92.61, mean_100: -192.33, episodes: 21
1983: reward: -102.78, mean_100: -188.26, episodes: 22
2093: reward: -236.41, mean_100: -190.35, episodes: 23
2220: reward: -187.21, mean_100: -190.22, episodes: 24
2300: reward: -155.85, mean_100: -188.85, episodes: 25
2412: reward: -357.76, mean_100: -195.35, episodes: 26
2504: reward: -154.26, mean_100: -193.82, episodes: 27
2570: reward: -232.89, mean_100: -195.22, episodes: 28
2633: reward: -112.53, mean_100: -192.37, episodes: 29
2720: reward: -243.07, mean_100: -194.06, episodes: 30
2780: reward: -54.66, mean_100: -189.56, episodes: 31
2859: reward: -292.25, mean_100: -192.77, episodes: 32
2954: reward: -137.30, mean_100: -191.09, episodes: 33
3066: reward: -208.09, mean_100: -191.59, episodes: 34
3151: reward: -108.66, mean_100: -189.22, episodes: 35
3257: reward: -221.66, mean_100: -190.12, episodes: 36
3335: reward: -109.04, mean_100: -187.93, episodes: 37
3397: reward: -132.41, mean_100: -186.47, episodes: 38
3474: reward: -118.88, mean_100: -184.74, episodes: 39
3553: reward: -213.22, mean_100: -185.45, episodes: 40
3640: reward: -257.37, mean_100: -187.20, episodes: 41
3703: reward: -82.08, mean_100: -184.70, episodes: 42
3802: reward: -325.14, mean_100: -187.96, episodes: 43
3908: reward: -119.41, mean_100: -186.41, episodes: 44
3980: reward: -82.29, mean_100: -184.09, episodes: 45
4107: reward: -120.15, mean_100: -182.70, episodes: 46
4211: reward: -93.25, mean_100: -180.80, episodes: 47
4330: reward: -77.72, mean_100: -178.65, episodes: 48
4439: reward: -159.32, mean_100: -178.26, episodes: 49
4540: reward: -188.54, mean_100: -178.46, episodes: 50
4614: reward: -112.16, mean_100: -177.16, episodes: 51
4712: reward: -140.57, mean_100: -176.46, episodes: 52
4778: reward: -52.95, mean_100: -174.13, episodes: 53
4887: reward: -206.16, mean_100: -174.72, episodes: 54
4992: reward: -111.19, mean_100: -173.57, episodes: 55
5100: reward: -111.92, mean_100: -172.47, episodes: 56
5238: reward: -278.19, mean_100: -174.32, episodes: 57
5351: reward: -103.57, mean_100: -173.10, episodes: 58
5481: reward: -114.10, mean_100: -172.10, episodes: 59
5608: reward: -41.17, mean_100: -169.92, episodes: 60
5749: reward: -97.10, mean_100: -168.73, episodes: 61
5851: reward: -135.63, mean_100: -168.19, episodes: 62
5999: reward: -279.29, mean_100: -169.95, episodes: 63
6162: reward: -242.63, mean_100: -171.09, episodes: 64
6268: reward: -220.97, mean_100: -171.86, episodes: 65
6390: reward: -92.06, mean_100: -170.65, episodes: 66
6600: reward: -430.84, mean_100: -174.53, episodes: 67
6688: reward: -241.29, mean_100: -175.51, episodes: 68
6775: reward: -39.45, mean_100: -173.54, episodes: 69
6875: reward: -239.71, mean_100: -174.49, episodes: 70
6998: reward: -252.92, mean_100: -175.59, episodes: 71
7105: reward: -217.22, mean_100: -176.17, episodes: 72
7217: reward: -206.25, mean_100: -176.58, episodes: 73
7324: reward: -68.91, mean_100: -175.13, episodes: 74
7391: reward: -166.16, mean_100: -175.01, episodes: 75
7512: reward: -201.76, mean_100: -175.36, episodes: 76
7578: reward: -86.62, mean_100: -174.21, episodes: 77
7665: reward: -116.11, mean_100: -173.46, episodes: 78
7751: reward: -111.77, mean_100: -172.68, episodes: 79
7828: reward: -125.18, mean_100: -172.09, episodes: 80
7954: reward: -115.99, mean_100: -171.39, episodes: 81
8036: reward: -101.88, mean_100: -170.55, episodes: 82
8154: reward: -66.72, mean_100: -169.30, episodes: 83
8270: reward: -102.15, mean_100: -168.50, episodes: 84
8433: reward: -308.67, mean_100: -170.15, episodes: 85
8549: reward: -105.81, mean_100: -169.40, episodes: 86
8634: reward: -139.72, mean_100: -169.06, episodes: 87
8762: reward: -216.95, mean_100: -169.60, episodes: 88
8875: reward: -90.79, mean_100: -168.72, episodes: 89
8955: reward: -138.41, mean_100: -168.38, episodes: 90
9043: reward: -66.28, mean_100: -167.26, episodes: 91
9146: reward: -171.79, mean_100: -167.31, episodes: 92
9252: reward: -189.21, mean_100: -167.54, episodes: 93
9345: reward: -96.15, mean_100: -166.78, episodes: 94
9463: reward: -190.20, mean_100: -167.03, episodes: 95
9580: reward: -92.92, mean_100: -166.26, episodes: 96
9731: reward: -106.82, mean_100: -165.64, episodes: 97
9822: reward: -66.82, mean_100: -164.64, episodes: 98
9984: reward: -278.73, mean_100: -165.79, episodes: 99
10121: reward: -336.87, mean_100: -167.50, episodes: 100
10323: reward: -343.07, mean_100: -169.68, episodes: 101
10523: reward: -118.31, mean_100: -168.77, episodes: 102
10635: reward: -202.32, mean_100: -169.67, episodes: 103
10766: reward: -133.14, mean_100: -169.74, episodes: 104
10869: reward: -103.26, mean_100: -168.52, episodes: 105
10980: reward: -72.24, mean_100: -168.11, episodes: 106
11146: reward: -49.98, mean_100: -167.15, episodes: 107
11283: reward: -309.09, mean_100: -168.66, episodes: 108
11441: reward: -159.52, mean_100: -167.97, episodes: 109
11569: reward: -63.24, mean_100: -165.02, episodes: 110
11653: reward:   4.33, mean_100: -159.75, episodes: 111
11891: reward: -199.52, mean_100: -160.00, episodes: 112
12141: reward:  -0.49, mean_100: -158.02, episodes: 113
12257: reward: -512.48, mean_100: -161.60, episodes: 114
12401: reward: -229.53, mean_100: -162.95, episodes: 115
12523: reward: -178.56, mean_100: -161.99, episodes: 116
12661: reward: -221.64, mean_100: -163.15, episodes: 117
12776: reward: -281.32, mean_100: -164.59, episodes: 118
12891: reward: -107.66, mean_100: -161.93, episodes: 119
13035: reward: -89.17, mean_100: -161.74, episodes: 120
13129: reward: -255.43, mean_100: -163.37, episodes: 121
13294: reward: -229.36, mean_100: -164.63, episodes: 122
13449: reward: -111.12, mean_100: -163.38, episodes: 123
13574: reward: -10.02, mean_100: -161.61, episodes: 124
13746: reward: -36.93, mean_100: -160.42, episodes: 125
13903: reward: -245.38, mean_100: -159.29, episodes: 126
13998: reward: -129.43, mean_100: -159.05, episodes: 127
14138: reward: -84.68, mean_100: -157.56, episodes: 128
14257: reward: -45.21, mean_100: -156.89, episodes: 129
14347: reward: -87.69, mean_100: -155.34, episodes: 130
14450: reward: -223.53, mean_100: -157.02, episodes: 131
14566: reward: -266.32, mean_100: -156.77, episodes: 132
14698: reward: -146.74, mean_100: -156.86, episodes: 133
14793: reward: -75.86, mean_100: -155.54, episodes: 134
14902: reward: -107.44, mean_100: -155.53, episodes: 135
14978: reward: -171.63, mean_100: -155.03, episodes: 136
15121: reward: -114.23, mean_100: -155.08, episodes: 137
15212: reward: -101.27, mean_100: -154.77, episodes: 138
15298: reward: -135.50, mean_100: -154.93, episodes: 139
15461: reward: -271.13, mean_100: -155.51, episodes: 140
15552: reward: -229.48, mean_100: -155.23, episodes: 141
15717: reward: -313.18, mean_100: -157.54, episodes: 142
15812: reward: -86.44, mean_100: -155.16, episodes: 143
15957: reward: -135.25, mean_100: -155.31, episodes: 144
16050: reward: -333.34, mean_100: -157.82, episodes: 145
16127: reward: -83.06, mean_100: -157.45, episodes: 146
16283: reward: -144.23, mean_100: -157.96, episodes: 147
16396: reward: -318.75, mean_100: -160.37, episodes: 148
16525: reward: -52.05, mean_100: -159.30, episodes: 149
16698: reward: -364.40, mean_100: -161.06, episodes: 150
16910: reward: -147.81, mean_100: -161.42, episodes: 151
17134: reward: -131.42, mean_100: -161.32, episodes: 152
17271: reward: -15.53, mean_100: -160.95, episodes: 153
17524: reward: -278.88, mean_100: -161.68, episodes: 154
17685: reward: -70.61, mean_100: -161.27, episodes: 155
17807: reward: -462.69, mean_100: -164.78, episodes: 156
17953: reward: -44.20, mean_100: -162.44, episodes: 157
18241: reward: -587.76, mean_100: -167.28, episodes: 158
18544: reward: -535.57, mean_100: -171.50, episodes: 159
18748: reward: -547.16, mean_100: -176.56, episodes: 160
18832: reward: -387.44, mean_100: -179.46, episodes: 161
18926: reward: -358.39, mean_100: -181.69, episodes: 162
19037: reward: -459.68, mean_100: -183.49, episodes: 163
19248: reward: -193.10, mean_100: -183.00, episodes: 164
19323: reward: -264.35, mean_100: -183.43, episodes: 165
19446: reward: -366.69, mean_100: -186.18, episodes: 166
19566: reward: -560.89, mean_100: -187.48, episodes: 167
19678: reward: -118.03, mean_100: -186.24, episodes: 168
19807: reward: -161.15, mean_100: -187.46, episodes: 169
19900: reward: -291.36, mean_100: -187.98, episodes: 170
19978: reward: -77.89, mean_100: -186.23, episodes: 171
20089: reward: -77.61, mean_100: -184.83, episodes: 172
20237: reward: -66.29, mean_100: -183.43, episodes: 173
20337: reward: -70.52, mean_100: -183.45, episodes: 174
20484: reward: -224.49, mean_100: -184.03, episodes: 175
20593: reward: -83.45, mean_100: -182.85, episodes: 176
20806: reward: -76.61, mean_100: -182.75, episodes: 177
20941: reward: -253.67, mean_100: -184.12, episodes: 178
21111: reward: -271.44, mean_100: -185.72, episodes: 179
21366: reward: -33.42, mean_100: -184.80, episodes: 180
21472: reward: -226.76, mean_100: -185.91, episodes: 181
21557: reward: -189.19, mean_100: -186.78, episodes: 182
21675: reward: -187.55, mean_100: -187.99, episodes: 183
21768: reward: -182.34, mean_100: -188.79, episodes: 184
21896: reward: -109.20, mean_100: -186.80, episodes: 185
22038: reward: -61.82, mean_100: -186.36, episodes: 186
22163: reward: -16.17, mean_100: -185.12, episodes: 187
23164: reward:  45.34, mean_100: -182.50, episodes: 188
23371: reward: -12.47, mean_100: -181.72, episodes: 189
23502: reward: -28.41, mean_100: -180.62, episodes: 190
23669: reward:   7.33, mean_100: -179.88, episodes: 191
23911: reward: -222.53, mean_100: -180.39, episodes: 192
24194: reward: -115.50, mean_100: -179.65, episodes: 193
24419: reward: -94.01, mean_100: -179.63, episodes: 194
24523: reward: -139.95, mean_100: -179.13, episodes: 195
24628: reward: -316.72, mean_100: -181.37, episodes: 196
24750: reward: -37.50, mean_100: -180.67, episodes: 197
24991: reward:  -8.29, mean_100: -180.09, episodes: 198
25151: reward: -23.49, mean_100: -177.53, episodes: 199
25293: reward: -263.09, mean_100: -176.80, episodes: 200
25402: reward:  19.03, mean_100: -173.18, episodes: 201
25598: reward: -55.42, mean_100: -172.55, episodes: 202
25794: reward:  58.57, mean_100: -169.94, episodes: 203
26013: reward: -222.44, mean_100: -170.83, episodes: 204
26261: reward: -246.19, mean_100: -172.26, episodes: 205
26382: reward: -42.82, mean_100: -171.97, episodes: 206
26510: reward: -32.25, mean_100: -171.79, episodes: 207
26630: reward:   7.68, mean_100: -168.62, episodes: 208
26750: reward: -307.50, mean_100: -170.10, episodes: 209
26963: reward: -46.95, mean_100: -169.94, episodes: 210
27113: reward: -245.07, mean_100: -172.43, episodes: 211
27317: reward: -220.37, mean_100: -172.64, episodes: 212
27501: reward: -264.16, mean_100: -175.28, episodes: 213
27638: reward: -217.48, mean_100: -172.33, episodes: 214
27747: reward: -25.54, mean_100: -170.29, episodes: 215
27855: reward: -50.17, mean_100: -169.00, episodes: 216
27997: reward:  16.81, mean_100: -166.62, episodes: 217
28134: reward: -80.62, mean_100: -164.61, episodes: 218
28263: reward: -102.33, mean_100: -164.56, episodes: 219
28360: reward: -25.80, mean_100: -163.93, episodes: 220
28567: reward:   4.53, mean_100: -161.33, episodes: 221
28759: reward: -67.00, mean_100: -159.70, episodes: 222
28970: reward: -131.66, mean_100: -159.91, episodes: 223
29092: reward: -122.82, mean_100: -161.04, episodes: 224
29206: reward: -100.29, mean_100: -161.67, episodes: 225
29349: reward: -230.83, mean_100: -161.52, episodes: 226
29472: reward: -75.21, mean_100: -160.98, episodes: 227
29660: reward: -45.39, mean_100: -160.59, episodes: 228
29765: reward: -129.74, mean_100: -161.43, episodes: 229
29937: reward: -313.63, mean_100: -163.69, episodes: 230
30121: reward: -325.08, mean_100: -164.71, episodes: 231
30245: reward: -14.76, mean_100: -162.19, episodes: 232
30490: reward: -11.00, mean_100: -160.84, episodes: 233
30667: reward: -330.66, mean_100: -163.38, episodes: 234
30857: reward: -199.84, mean_100: -164.31, episodes: 235
31057: reward: -93.74, mean_100: -163.53, episodes: 236
