PGN(
  (net): Sequential(
    (0): Linear(in_features=8, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=4, bias=True)
  )
)
81: reward: -344.23, mean_100: -344.23, episodes: 1
151: reward: -117.74, mean_100: -230.98, episodes: 2
276: reward: -166.76, mean_100: -209.57, episodes: 3
349: reward: -103.87, mean_100: -183.15, episodes: 4
430: reward:  13.18, mean_100: -143.88, episodes: 5
575: reward: -322.38, mean_100: -173.63, episodes: 6
639: reward: -64.29, mean_100: -158.01, episodes: 7
708: reward: -94.62, mean_100: -150.09, episodes: 8
821: reward: -160.28, mean_100: -151.22, episodes: 9
927: reward: -208.31, mean_100: -156.93, episodes: 10
1046: reward: -280.06, mean_100: -168.12, episodes: 11
1109: reward: -111.40, mean_100: -163.40, episodes: 12
1183: reward: -125.96, mean_100: -160.52, episodes: 13
1280: reward: -166.33, mean_100: -160.93, episodes: 14
1357: reward: -91.84, mean_100: -156.33, episodes: 15
1452: reward: -260.94, mean_100: -162.86, episodes: 16
1568: reward: -180.66, mean_100: -163.91, episodes: 17
1698: reward: -95.25, mean_100: -160.10, episodes: 18
1843: reward: -84.26, mean_100: -156.11, episodes: 19
1944: reward: -154.63, mean_100: -156.03, episodes: 20
2092: reward: -309.24, mean_100: -163.33, episodes: 21
2169: reward: -145.80, mean_100: -162.53, episodes: 22
2255: reward: -128.06, mean_100: -161.03, episodes: 23
2386: reward: -318.00, mean_100: -167.57, episodes: 24
2506: reward: -114.14, mean_100: -165.43, episodes: 25
2610: reward: -170.21, mean_100: -165.62, episodes: 26
2703: reward: -73.18, mean_100: -162.19, episodes: 27
2783: reward: -119.01, mean_100: -160.65, episodes: 28
2875: reward: -343.84, mean_100: -166.97, episodes: 29
2965: reward: -195.78, mean_100: -167.93, episodes: 30
3088: reward: -120.36, mean_100: -166.40, episodes: 31
3188: reward: -136.54, mean_100: -165.46, episodes: 32
3258: reward: -83.08, mean_100: -162.97, episodes: 33
3327: reward: -216.18, mean_100: -164.53, episodes: 34
3467: reward: -355.47, mean_100: -169.99, episodes: 35
3578: reward: -153.36, mean_100: -169.52, episodes: 36
3693: reward: -155.00, mean_100: -169.13, episodes: 37
3759: reward: -65.45, mean_100: -166.40, episodes: 38
3882: reward: -154.73, mean_100: -166.10, episodes: 39
3955: reward: -122.09, mean_100: -165.00, episodes: 40
4038: reward: -88.71, mean_100: -163.14, episodes: 41
4156: reward: -136.49, mean_100: -162.51, episodes: 42
4260: reward: -108.78, mean_100: -161.26, episodes: 43
4388: reward: -77.10, mean_100: -159.35, episodes: 44
4487: reward: -227.55, mean_100: -160.86, episodes: 45
4613: reward: -34.48, mean_100: -158.11, episodes: 46
4715: reward: -334.89, mean_100: -161.88, episodes: 47
4782: reward: -53.47, mean_100: -159.62, episodes: 48
4868: reward: -119.33, mean_100: -158.80, episodes: 49
5025: reward: -221.79, mean_100: -160.06, episodes: 50
5091: reward: -133.96, mean_100: -159.54, episodes: 51
5158: reward: -75.22, mean_100: -157.92, episodes: 52
5248: reward: -175.75, mean_100: -158.26, episodes: 53
5319: reward: -93.06, mean_100: -157.05, episodes: 54
5490: reward: -225.01, mean_100: -158.29, episodes: 55
5619: reward: -217.78, mean_100: -159.35, episodes: 56
5723: reward: -322.20, mean_100: -162.21, episodes: 57
5830: reward: -94.43, mean_100: -161.04, episodes: 58
6011: reward: -171.25, mean_100: -161.21, episodes: 59
6092: reward: -175.04, mean_100: -161.44, episodes: 60
6201: reward: -239.50, mean_100: -162.72, episodes: 61
6341: reward: -89.36, mean_100: -161.54, episodes: 62
6508: reward: -242.09, mean_100: -162.82, episodes: 63
6579: reward: -99.53, mean_100: -161.83, episodes: 64
6651: reward: -133.78, mean_100: -161.40, episodes: 65
6757: reward: -324.87, mean_100: -163.87, episodes: 66
6881: reward: -133.67, mean_100: -163.42, episodes: 67
6979: reward: -141.04, mean_100: -163.09, episodes: 68
7106: reward: -147.58, mean_100: -162.87, episodes: 69
7180: reward: -178.15, mean_100: -163.09, episodes: 70
7320: reward: -127.86, mean_100: -162.59, episodes: 71
7428: reward: -116.13, mean_100: -161.94, episodes: 72
7541: reward: -60.27, mean_100: -160.55, episodes: 73
7701: reward: -492.78, mean_100: -165.04, episodes: 74
7776: reward: -80.17, mean_100: -163.91, episodes: 75
7867: reward: -112.59, mean_100: -163.23, episodes: 76
7963: reward: -113.58, mean_100: -162.59, episodes: 77
8075: reward: -180.30, mean_100: -162.82, episodes: 78
8184: reward: -252.52, mean_100: -163.95, episodes: 79
8273: reward: -149.29, mean_100: -163.77, episodes: 80
8396: reward: -131.23, mean_100: -163.37, episodes: 81
8498: reward: -141.48, mean_100: -163.10, episodes: 82
8623: reward: -288.28, mean_100: -164.61, episodes: 83
8702: reward: -129.68, mean_100: -164.19, episodes: 84
8781: reward: -164.14, mean_100: -164.19, episodes: 85
8901: reward: -302.26, mean_100: -165.80, episodes: 86
9000: reward: -75.52, mean_100: -164.76, episodes: 87
9176: reward: -43.90, mean_100: -163.39, episodes: 88
9334: reward: -302.21, mean_100: -164.95, episodes: 89
9425: reward: -94.56, mean_100: -164.16, episodes: 90
9540: reward: -96.82, mean_100: -163.42, episodes: 91
9610: reward: -100.61, mean_100: -162.74, episodes: 92
9722: reward: -130.63, mean_100: -162.40, episodes: 93
9823: reward: -149.32, mean_100: -162.26, episodes: 94
9914: reward: -132.23, mean_100: -161.94, episodes: 95
10054: reward: -325.75, mean_100: -163.65, episodes: 96
10127: reward: -139.28, mean_100: -163.40, episodes: 97
10215: reward: -221.99, mean_100: -163.99, episodes: 98
10289: reward: -71.45, mean_100: -163.06, episodes: 99
10381: reward: -142.32, mean_100: -162.85, episodes: 100
10509: reward: -160.10, mean_100: -161.01, episodes: 101
10599: reward: -86.57, mean_100: -160.70, episodes: 102
10666: reward: -77.39, mean_100: -159.81, episodes: 103
10763: reward: -114.81, mean_100: -159.91, episodes: 104
10898: reward: -130.99, mean_100: -161.36, episodes: 105
10966: reward: -92.51, mean_100: -159.06, episodes: 106
11054: reward: -198.19, mean_100: -160.40, episodes: 107
11158: reward: -97.68, mean_100: -160.43, episodes: 108
11292: reward: -286.60, mean_100: -161.69, episodes: 109
11364: reward: -176.21, mean_100: -161.37, episodes: 110
11523: reward: -249.62, mean_100: -161.07, episodes: 111
11714: reward: -212.20, mean_100: -162.07, episodes: 112
11798: reward: -256.85, mean_100: -163.38, episodes: 113
11902: reward: -303.84, mean_100: -164.76, episodes: 114
11992: reward: -330.23, mean_100: -167.14, episodes: 115
12064: reward: -64.74, mean_100: -165.18, episodes: 116
12128: reward: -95.32, mean_100: -164.33, episodes: 117
12266: reward: -339.97, mean_100: -166.77, episodes: 118
12414: reward: -104.64, mean_100: -166.98, episodes: 119
12546: reward: -61.92, mean_100: -166.05, episodes: 120
12642: reward:   5.48, mean_100: -162.90, episodes: 121
12775: reward: -160.41, mean_100: -163.05, episodes: 122
12943: reward: -48.37, mean_100: -162.25, episodes: 123
13067: reward: -113.53, mean_100: -160.21, episodes: 124
13213: reward: -62.92, mean_100: -159.69, episodes: 125
13290: reward: -57.46, mean_100: -158.57, episodes: 126
13416: reward: -200.72, mean_100: -159.84, episodes: 127
13511: reward: -103.44, mean_100: -159.69, episodes: 128
13661: reward: -136.15, mean_100: -157.61, episodes: 129
13753: reward: -48.29, mean_100: -156.14, episodes: 130
13850: reward: -162.10, mean_100: -156.55, episodes: 131
13942: reward: -220.29, mean_100: -157.39, episodes: 132
14020: reward: -39.90, mean_100: -156.96, episodes: 133
14100: reward: -85.35, mean_100: -155.65, episodes: 134
14234: reward: -78.81, mean_100: -152.88, episodes: 135
14405: reward: -92.05, mean_100: -152.27, episodes: 136
14506: reward: -67.69, mean_100: -151.40, episodes: 137
14605: reward: -136.12, mean_100: -152.10, episodes: 138
14707: reward: -120.89, mean_100: -151.77, episodes: 139
14831: reward: -191.59, mean_100: -152.46, episodes: 140
14920: reward: -90.25, mean_100: -152.48, episodes: 141
15031: reward: -99.36, mean_100: -152.10, episodes: 142
15187: reward: -215.39, mean_100: -153.17, episodes: 143
15345: reward: -131.87, mean_100: -153.72, episodes: 144
15524: reward: -116.75, mean_100: -152.61, episodes: 145
15599: reward: -70.60, mean_100: -152.97, episodes: 146
15718: reward:   5.29, mean_100: -149.57, episodes: 147
15808: reward: -14.23, mean_100: -149.18, episodes: 148
16072: reward: -139.12, mean_100: -149.37, episodes: 149
16218: reward: -254.72, mean_100: -149.70, episodes: 150
16411: reward: -220.52, mean_100: -150.57, episodes: 151
16514: reward: -94.35, mean_100: -150.76, episodes: 152
16662: reward: -216.97, mean_100: -151.17, episodes: 153
16740: reward: -163.60, mean_100: -151.88, episodes: 154
16879: reward: -214.38, mean_100: -151.77, episodes: 155
17004: reward: -300.18, mean_100: -152.60, episodes: 156
17133: reward: -94.92, mean_100: -150.32, episodes: 157
17238: reward: -310.87, mean_100: -152.49, episodes: 158
17400: reward: -123.31, mean_100: -152.01, episodes: 159
17540: reward: -51.93, mean_100: -150.78, episodes: 160
17728: reward: -41.11, mean_100: -148.79, episodes: 161
17873: reward: -118.78, mean_100: -149.09, episodes: 162
17977: reward: -60.72, mean_100: -147.27, episodes: 163
18074: reward: -42.77, mean_100: -146.71, episodes: 164
18213: reward: -231.91, mean_100: -147.69, episodes: 165
18456: reward: -131.78, mean_100: -145.76, episodes: 166
18707: reward: -390.78, mean_100: -148.33, episodes: 167
18883: reward:  -0.53, mean_100: -146.92, episodes: 168
19010: reward: -119.78, mean_100: -146.64, episodes: 169
19097: reward: -85.34, mean_100: -145.72, episodes: 170
19223: reward: -29.27, mean_100: -144.73, episodes: 171
19348: reward: -91.00, mean_100: -144.48, episodes: 172
19497: reward: -245.83, mean_100: -146.34, episodes: 173
19613: reward: -333.85, mean_100: -144.75, episodes: 174
19735: reward: -342.89, mean_100: -147.37, episodes: 175
19820: reward: -49.93, mean_100: -146.75, episodes: 176
19923: reward: -215.43, mean_100: -147.77, episodes: 177
20021: reward: -219.51, mean_100: -148.16, episodes: 178
20126: reward: -47.66, mean_100: -146.11, episodes: 179
20247: reward: -215.10, mean_100: -146.77, episodes: 180
20396: reward: -52.66, mean_100: -145.98, episodes: 181
20590: reward: -26.88, mean_100: -144.84, episodes: 182
20739: reward: -91.13, mean_100: -142.86, episodes: 183
20880: reward: -92.29, mean_100: -142.49, episodes: 184
20987: reward: -26.77, mean_100: -141.12, episodes: 185
21189: reward: -94.53, mean_100: -139.04, episodes: 186
21362: reward: -86.29, mean_100: -139.15, episodes: 187
21505: reward: -267.65, mean_100: -141.38, episodes: 188
21624: reward: -97.97, mean_100: -139.34, episodes: 189
21706: reward: -59.14, mean_100: -138.99, episodes: 190
21860: reward: -107.68, mean_100: -139.10, episodes: 191
21952: reward: -93.72, mean_100: -139.03, episodes: 192
22117: reward: -105.64, mean_100: -138.78, episodes: 193
22207: reward: -97.74, mean_100: -138.26, episodes: 194
22395: reward: -159.11, mean_100: -138.53, episodes: 195
22607: reward: -257.78, mean_100: -137.85, episodes: 196
22704: reward: -66.10, mean_100: -137.12, episodes: 197
22875: reward: -101.40, mean_100: -135.91, episodes: 198
23105: reward: -139.90, mean_100: -136.60, episodes: 199
23444: reward: -354.03, mean_100: -138.71, episodes: 200
23560: reward: -27.32, mean_100: -137.39, episodes: 201
23681: reward: -122.51, mean_100: -137.75, episodes: 202
23902: reward: -82.03, mean_100: -137.79, episodes: 203
24002: reward: -137.91, mean_100: -138.02, episodes: 204
24218: reward: -231.54, mean_100: -139.03, episodes: 205
24408: reward: -64.96, mean_100: -138.75, episodes: 206
24583: reward: -45.10, mean_100: -137.22, episodes: 207
25584: reward: -18.51, mean_100: -136.43, episodes: 208
25688: reward: -81.31, mean_100: -134.38, episodes: 209
25816: reward: -48.10, mean_100: -133.10, episodes: 210
25925: reward: -94.51, mean_100: -131.55, episodes: 211
26926: reward:  59.42, mean_100: -128.83, episodes: 212
27130: reward: -10.58, mean_100: -126.37, episodes: 213
27348: reward: -162.49, mean_100: -124.95, episodes: 214
27560: reward: -136.07, mean_100: -123.01, episodes: 215
27996: reward: -136.14, mean_100: -123.73, episodes: 216
28341: reward: -334.58, mean_100: -126.12, episodes: 217
28516: reward: -46.71, mean_100: -123.19, episodes: 218
28669: reward: -75.51, mean_100: -122.89, episodes: 219
28838: reward: -146.44, mean_100: -123.74, episodes: 220
29033: reward: -33.93, mean_100: -124.13, episodes: 221
29196: reward:  20.33, mean_100: -122.33, episodes: 222
29291: reward: -30.33, mean_100: -122.15, episodes: 223
29511: reward:   4.71, mean_100: -120.96, episodes: 224
29646: reward: -20.51, mean_100: -120.54, episodes: 225
29939: reward:  18.97, mean_100: -119.77, episodes: 226
30068: reward: -60.20, mean_100: -118.37, episodes: 227
30166: reward: -26.28, mean_100: -117.60, episodes: 228
30289: reward: -26.73, mean_100: -116.50, episodes: 229
30456: reward: -102.55, mean_100: -117.05, episodes: 230
30669: reward: -155.00, mean_100: -116.98, episodes: 231
30902: reward: -104.11, mean_100: -115.81, episodes: 232
31189: reward: -206.95, mean_100: -117.48, episodes: 233
31410: reward: -68.84, mean_100: -117.32, episodes: 234
31571: reward: -21.99, mean_100: -116.75, episodes: 235
31694: reward:   1.21, mean_100: -115.82, episodes: 236
