PGN(
  (net): Sequential(
    (0): Linear(in_features=8, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): ReLU()
    (4): Linear(in_features=128, out_features=4, bias=True)
  )
)
88: reward: -115.95, mean_100: -115.95, episodes: 1
178: reward: -129.42, mean_100: -122.68, episodes: 2
288: reward: -143.02, mean_100: -129.46, episodes: 3
386: reward: -242.61, mean_100: -157.75, episodes: 4
484: reward: -388.90, mean_100: -203.98, episodes: 5
557: reward: -168.02, mean_100: -197.99, episodes: 6
648: reward: -316.65, mean_100: -214.94, episodes: 7
708: reward: -74.57, mean_100: -197.39, episodes: 8
804: reward: -369.49, mean_100: -216.51, episodes: 9
878: reward: -97.77, mean_100: -204.64, episodes: 10
948: reward: -109.95, mean_100: -196.03, episodes: 11
1012: reward: -84.42, mean_100: -186.73, episodes: 12
1126: reward: -115.54, mean_100: -181.25, episodes: 13
1192: reward: -202.18, mean_100: -182.75, episodes: 14
1283: reward: -270.72, mean_100: -188.61, episodes: 15
1367: reward: -60.12, mean_100: -180.58, episodes: 16
1456: reward: -191.33, mean_100: -181.22, episodes: 17
1565: reward: -307.59, mean_100: -188.24, episodes: 18
1667: reward: -120.01, mean_100: -184.65, episodes: 19
1759: reward: -192.72, mean_100: -185.05, episodes: 20
1896: reward: -49.11, mean_100: -178.58, episodes: 21
2008: reward: -313.29, mean_100: -184.70, episodes: 22
2077: reward: -52.95, mean_100: -178.97, episodes: 23
2148: reward:  25.53, mean_100: -170.45, episodes: 24
2243: reward: -145.16, mean_100: -169.44, episodes: 25
2311: reward: -76.82, mean_100: -165.88, episodes: 26
2384: reward: -121.18, mean_100: -164.22, episodes: 27
2519: reward: -277.92, mean_100: -168.28, episodes: 28
2658: reward: -364.96, mean_100: -175.06, episodes: 29
2788: reward: -285.70, mean_100: -178.75, episodes: 30
2887: reward: -152.30, mean_100: -177.90, episodes: 31
2965: reward: -127.19, mean_100: -176.31, episodes: 32
3042: reward: -91.53, mean_100: -173.74, episodes: 33
3167: reward: -141.96, mean_100: -172.81, episodes: 34
3315: reward: -197.02, mean_100: -173.50, episodes: 35
3404: reward: -103.43, mean_100: -171.55, episodes: 36
3485: reward: -118.46, mean_100: -170.12, episodes: 37
3567: reward: -126.43, mean_100: -168.97, episodes: 38
3690: reward: -98.20, mean_100: -167.16, episodes: 39
3784: reward: -100.58, mean_100: -165.49, episodes: 40
3857: reward: -81.54, mean_100: -163.44, episodes: 41
