5682731: reward: -87.55, mean_100:  47.43, episodes: 9797
5683138: reward: -107.17, mean_100:  45.97, episodes: 9798
5683575: reward: -71.32, mean_100:  44.25, episodes: 9799
5684576: reward:  88.93, mean_100:  46.03, episodes: 9800
5684914: reward: -107.74, mean_100:  45.83, episodes: 9801
5685399: reward: 138.18, mean_100:  45.46, episodes: 9802
5686126: reward: 163.54, mean_100:  45.74, episodes: 9803
5686544: reward: 159.14, mean_100:  46.21, episodes: 9804
5687254: reward: 141.39, mean_100:  47.13, episodes: 9805
5688255: reward:  18.79, mean_100:  47.33, episodes: 9806
5688678: reward: 157.53, mean_100:  47.24, episodes: 9807
5689679: reward:  51.30, mean_100:  46.81, episodes: 9808
5690680: reward:  90.05, mean_100:  47.42, episodes: 9809
5691124: reward: 170.03, mean_100:  50.42, episodes: 9810
5691570: reward: 114.20, mean_100:  50.69, episodes: 9811
5692571: reward:  13.82, mean_100:  50.57, episodes: 9812
5693050: reward: 140.81, mean_100:  51.46, episodes: 9813
5694051: reward:  49.02, mean_100:  51.87, episodes: 9814
5694550: reward: 181.19, mean_100:  53.22, episodes: 9815
5695551: reward:  69.46, mean_100:  52.78, episodes: 9816
5696552: reward:  50.32, mean_100:  52.30, episodes: 9817
5696997: reward: 178.81, mean_100:  53.15, episodes: 9818
5697434: reward:  93.15, mean_100:  54.13, episodes: 9819
5698435: reward:  45.59, mean_100:  54.63, episodes: 9820
5698850: reward: 169.46, mean_100:  55.79, episodes: 9821
5699851: reward:  18.33, mean_100:  54.37, episodes: 9822
5700852: reward:  13.14, mean_100:  54.04, episodes: 9823
5701363: reward: 172.39, mean_100:  55.80, episodes: 9824
5701694: reward: -82.54, mean_100:  54.86, episodes: 9825
5702695: reward:  30.93, mean_100:  53.50, episodes: 9826
5703696: reward:  50.63, mean_100:  54.33, episodes: 9827
5704156: reward: 190.21, mean_100:  55.17, episodes: 9828
5705157: reward:  40.97, mean_100:  54.52, episodes: 9829
5706158: reward:  42.35, mean_100:  55.12, episodes: 9830
5706772: reward: 166.57, mean_100:  56.22, episodes: 9831
5707257: reward: 110.38, mean_100:  56.32, episodes: 9832
5708258: reward:  33.11, mean_100:  56.58, episodes: 9833
5708689: reward: 191.88, mean_100:  57.17, episodes: 9834
5709145: reward: 144.07, mean_100:  57.75, episodes: 9835
5710146: reward:  65.40, mean_100:  58.09, episodes: 9836
5711147: reward:  77.03, mean_100:  57.31, episodes: 9837
5711626: reward: 182.08, mean_100:  59.13, episodes: 9838
5712627: reward:  19.45, mean_100:  58.45, episodes: 9839
5713268: reward: 135.38, mean_100:  59.78, episodes: 9840
5713746: reward: 136.74, mean_100:  59.99, episodes: 9841
5714747: reward:  83.11, mean_100:  59.40, episodes: 9842
5715205: reward: 107.21, mean_100:  59.94, episodes: 9843
5715567: reward: 214.49, mean_100:  62.29, episodes: 9844
5716568: reward:  33.83, mean_100:  62.61, episodes: 9845
5717091: reward: 165.48, mean_100:  62.91, episodes: 9846
5718092: reward:  53.27, mean_100:  63.06, episodes: 9847
5718717: reward: 162.07, mean_100:  65.83, episodes: 9848
5719102: reward: -52.00, mean_100:  63.87, episodes: 9849
5719429: reward: -22.80, mean_100:  62.42, episodes: 9850
5719865: reward: 154.65, mean_100:  63.03, episodes: 9851
5720329: reward: -37.72, mean_100:  62.60, episodes: 9852
5720785: reward: 126.75, mean_100:  64.01, episodes: 9853
5721786: reward:  76.60, mean_100:  64.54, episodes: 9854
5722218: reward: -60.00, mean_100:  64.95, episodes: 9855
5723219: reward:  81.65, mean_100:  65.51, episodes: 9856
5723702: reward: 173.83, mean_100:  66.92, episodes: 9857
5724703: reward:  76.46, mean_100:  67.39, episodes: 9858
5725147: reward: 149.33, mean_100:  69.11, episodes: 9859
5725663: reward: 171.74, mean_100:  69.90, episodes: 9860
5726152: reward: 132.62, mean_100:  71.14, episodes: 9861
5726743: reward: 158.84, mean_100:  72.46, episodes: 9862
5727744: reward:  40.53, mean_100:  73.04, episodes: 9863
5728745: reward:  57.64, mean_100:  74.79, episodes: 9864
5729746: reward:  49.69, mean_100:  76.77, episodes: 9865
5730747: reward:  27.43, mean_100:  76.70, episodes: 9866
5731225: reward: 119.73, mean_100:  76.68, episodes: 9867
5731699: reward: 153.18, mean_100:  77.20, episodes: 9868
5732700: reward:  29.50, mean_100:  75.87, episodes: 9869
5733701: reward:  36.76, mean_100:  76.27, episodes: 9870
5734702: reward:  70.18, mean_100:  76.85, episodes: 9871
5735231: reward: 179.63, mean_100:  77.09, episodes: 9872
5735791: reward: 127.05, mean_100:  77.94, episodes: 9873
5736282: reward: 117.56, mean_100:  78.92, episodes: 9874
5736756: reward: 114.02, mean_100:  79.50, episodes: 9875
5737757: reward:  28.77, mean_100:  80.73, episodes: 9876
5738280: reward: 193.18, mean_100:  81.64, episodes: 9877
5738658: reward: 202.41, mean_100:  83.69, episodes: 9878
5739659: reward:  88.86, mean_100:  84.25, episodes: 9879
5740180: reward: 133.97, mean_100:  85.66, episodes: 9880
5741181: reward:  90.15, mean_100:  84.84, episodes: 9881
5741743: reward: 157.31, mean_100:  84.78, episodes: 9882
5742124: reward: 186.74, mean_100:  85.18, episodes: 9883
5742637: reward: 142.78, mean_100:  86.66, episodes: 9884
5743638: reward:  55.03, mean_100:  85.44, episodes: 9885
5744639: reward:  50.04, mean_100:  86.86, episodes: 9886
5745640: reward:  47.52, mean_100:  87.89, episodes: 9887
5746641: reward:  96.35, mean_100:  90.21, episodes: 9888
5747642: reward:  53.36, mean_100:  89.16, episodes: 9889
5748070: reward: 169.19, mean_100:  89.76, episodes: 9890
5748539: reward: 160.33, mean_100:  89.61, episodes: 9891
5748955: reward: -41.42, mean_100:  88.59, episodes: 9892
5749439: reward: 156.46, mean_100:  89.47, episodes: 9893
5750080: reward: 160.15, mean_100:  89.61, episodes: 9894
5751081: reward:  51.80, mean_100:  89.78, episodes: 9895
5751559: reward: 136.93, mean_100:  90.42, episodes: 9896
5752023: reward: 150.28, mean_100:  92.80, episodes: 9897
5753024: reward:  82.40, mean_100:  94.69, episodes: 9898
5754025: reward:  98.43, mean_100:  96.39, episodes: 9899
5754530: reward: 191.71, mean_100:  97.42, episodes: 9900
5755531: reward:  66.53, mean_100:  99.16, episodes: 9901
5756532: reward:  98.66, mean_100:  98.76, episodes: 9902
5757533: reward:  53.06, mean_100:  97.66, episodes: 9903
5757986: reward: 131.99, mean_100:  97.39, episodes: 9904
5758471: reward: 134.18, mean_100:  97.32, episodes: 9905
5758945: reward: 182.43, mean_100:  98.95, episodes: 9906
5759946: reward:  48.46, mean_100:  97.86, episodes: 9907
5760947: reward:  68.44, mean_100:  98.03, episodes: 9908
5761502: reward: 152.09, mean_100:  98.65, episodes: 9909
5761974: reward: 125.88, mean_100:  98.21, episodes: 9910
5762975: reward:  65.49, mean_100:  97.72, episodes: 9911
5763976: reward:  41.48, mean_100:  98.00, episodes: 9912
5764977: reward:  94.80, mean_100:  97.54, episodes: 9913
5765978: reward:  68.35, mean_100:  97.73, episodes: 9914
5766979: reward:  62.77, mean_100:  96.55, episodes: 9915
5767980: reward:  80.16, mean_100:  96.66, episodes: 9916
5768981: reward:  48.79, mean_100:  96.64, episodes: 9917
5769982: reward:  58.50, mean_100:  95.44, episodes: 9918
5770983: reward:  93.25, mean_100:  95.44, episodes: 9919
5771864: reward: 160.59, mean_100:  96.59, episodes: 9920
5772865: reward:  40.17, mean_100:  95.30, episodes: 9921
5773866: reward:  49.43, mean_100:  95.61, episodes: 9922
5774867: reward:  63.79, mean_100:  96.11, episodes: 9923
5775868: reward:  46.39, mean_100:  94.85, episodes: 9924
5776869: reward:  42.30, mean_100:  96.10, episodes: 9925
5777431: reward: 142.55, mean_100:  97.22, episodes: 9926
5778432: reward:  79.74, mean_100:  97.51, episodes: 9927
5779433: reward:  65.52, mean_100:  96.26, episodes: 9928
5780434: reward:  41.82, mean_100:  96.27, episodes: 9929
5780988: reward: 152.32, mean_100:  97.37, episodes: 9930
5781989: reward:  69.40, mean_100:  96.40, episodes: 9931
5782990: reward:  79.83, mean_100:  96.09, episodes: 9932
5783783: reward: 163.45, mean_100:  97.40, episodes: 9933
5784784: reward:  18.05, mean_100:  95.66, episodes: 9934
5785785: reward:  81.92, mean_100:  95.04, episodes: 9935
5786786: reward:  48.28, mean_100:  94.87, episodes: 9936
5787373: reward: 142.19, mean_100:  95.52, episodes: 9937
5788374: reward:  17.70, mean_100:  93.87, episodes: 9938
5789375: reward:  42.08, mean_100:  94.10, episodes: 9939
5790376: reward:  40.29, mean_100:  93.15, episodes: 9940
5791377: reward:  38.42, mean_100:  92.17, episodes: 9941
5792378: reward:  74.04, mean_100:  92.08, episodes: 9942
5793379: reward:  49.28, mean_100:  91.50, episodes: 9943
5794380: reward:  67.82, mean_100:  90.03, episodes: 9944
5794808: reward: 188.54, mean_100:  91.58, episodes: 9945
5795809: reward:  82.21, mean_100:  90.74, episodes: 9946
5796810: reward:  51.51, mean_100:  90.73, episodes: 9947
5797811: reward:  78.88, mean_100:  89.89, episodes: 9948
5798812: reward:   8.65, mean_100:  90.50, episodes: 9949
5799283: reward: 177.23, mean_100:  92.50, episodes: 9950
5800284: reward:  71.20, mean_100:  91.67, episodes: 9951
5801285: reward:  58.10, mean_100:  92.62, episodes: 9952
5802138: reward: 187.92, mean_100:  93.24, episodes: 9953
5803139: reward:  60.81, mean_100:  93.08, episodes: 9954
5804140: reward:  29.87, mean_100:  93.98, episodes: 9955
5805141: reward:  49.41, mean_100:  93.65, episodes: 9956
5806142: reward:  54.15, mean_100:  92.46, episodes: 9957
5807143: reward:  64.76, mean_100:  92.34, episodes: 9958
5808144: reward:  54.73, mean_100:  91.40, episodes: 9959
5809145: reward:  36.88, mean_100:  90.05, episodes: 9960
5810146: reward:  83.91, mean_100:  89.56, episodes: 9961
5811147: reward:  69.79, mean_100:  88.67, episodes: 9962
5812148: reward: 109.07, mean_100:  89.35, episodes: 9963
5813149: reward:  31.10, mean_100:  89.09, episodes: 9964
5814150: reward:  38.40, mean_100:  88.98, episodes: 9965
5815151: reward:  64.91, mean_100:  89.35, episodes: 9966
5816152: reward:  64.54, mean_100:  88.80, episodes: 9967
5817153: reward:  27.62, mean_100:  87.54, episodes: 9968
5818154: reward:  57.99, mean_100:  87.83, episodes: 9969
5819155: reward:  48.57, mean_100:  87.95, episodes: 9970
5820156: reward:  43.43, mean_100:  87.68, episodes: 9971
5820735: reward: 154.96, mean_100:  87.43, episodes: 9972
5821736: reward:  41.21, mean_100:  86.57, episodes: 9973
5822737: reward:  22.44, mean_100:  85.62, episodes: 9974
5823150: reward: 190.68, mean_100:  86.39, episodes: 9975
5824151: reward:  28.14, mean_100:  86.38, episodes: 9976
5824715: reward: 159.09, mean_100:  86.04, episodes: 9977
5825716: reward:  30.92, mean_100:  84.33, episodes: 9978
5826296: reward: 155.03, mean_100:  84.99, episodes: 9979
5827180: reward: 158.54, mean_100:  85.23, episodes: 9980
5827821: reward: 175.82, mean_100:  86.09, episodes: 9981
5828822: reward:  72.53, mean_100:  85.24, episodes: 9982
5829422: reward: 173.31, mean_100:  85.11, episodes: 9983
5830423: reward:  62.15, mean_100:  84.30, episodes: 9984
5831424: reward:  55.77, mean_100:  84.31, episodes: 9985
